99980 Enzymes with EC numbers
K00046 idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K20766 E3.5.5.5; arylacetonitrilase [EC:3.5.5.5]
K20760 scnA; thiocyanate hydrolase subunit alpha [EC:3.5.5.8]
K20761 scnB; thiocyanate hydrolase subunit beta [EC:3.5.5.8]
K20762 scnC; thiocyanate hydrolase subunit gamma [EC:3.5.5.8]
K20763 naaA; 5-nitroanthranilic acid aminohydrolase [EC:3.5.99.8]
K20764 nnhA; 2-nitroimidazole nitrohydrolase [EC:3.5.99.9]
K09022 ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K20931 cnbZ; 2-aminomuconate deaminase (2-hydroxymuconate-forming) [EC:3.5.99.11]
K02080 agaI; putative deaminase/isomerase [EC:3.5.99.-]
K10708 frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]
K06018 PPN1; endopolyphosphatase [EC:3.6.1.10]
K18446 ygiF; triphosphatase [EC:3.6.1.25]
K01526 E3.6.1.42; guanosine-diphosphatase [EC:3.6.1.42]
K08077 NUDT14; UDP-sugar diphosphatase [EC:3.6.1.45]
K26954 NUDT22; UDP-sugar diphosphatase [EC:3.6.1.45]
K07766 E3.6.1.52; diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
K03207 gmm, nudD, wcaH; GDP-mannose mannosyl hydrolase [EC:3.6.1.-]
K11938 cof; HMP-PP phosphatase [EC:3.6.1.-]
K12944 nudI; nucleoside triphosphatase [EC:3.6.1.-]
K12945 nudK; GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]
K14643 ENTPD7; ectonucleoside triphosphate diphosphohydrolase 7 [EC:3.6.1.-]
K18665 NUDT8; nudix motif 8 [EC:3.6.1.-]
K19597 golT; Au+-exporting ATPase [EC:3.6.1.-]
K22530 ATAD1; ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
K22531 ATAD2; ATPase family AAA domain-containing protein 2 [EC:3.6.1.-]
K25422 yceF; 7-methyl-GTP pyrophosphatase [EC:3.6.1.-]
K03924 moxR; MoxR-like ATPase [EC:3.6.3.-]
K03578 hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]
K03579 hrpB; ATP-dependent helicase HrpB [EC:3.6.4.13]
K13026 DHX57; ATP-dependent RNA helicase DHX57 [EC:3.6.4.13]
K19466 DDX59; ATP-dependent RNA helicase DDX59 [EC:3.6.4.13]
K06944 DRG, RBG; developmentally-regulated GTP-binding protein [EC:3.6.5.-]
K07588 MMAA, argK; GTPase [EC:3.6.5.-]
K23519 phlG; 2,4-diacetylphloroglucinol hydrolase [EC:3.7.1.24]
K01559 oiaT; 3-oxoisoapionate-4-phosphate transcarboxylase/hydrolase [EC:3.7.1.28]
K21566 cprA; 3-chloro-4-hydroxyphenylacetate reductive dehalogenase [EC:3.8.1.-]
K20201 ywlE; protein arginine phosphatase [EC:3.9.1.2]
K01112 PHPT1; phosphohistidine phosphatase [EC:3.9.1.3]
K05977 dszB; 2'-hydroxybiphenyl-2-sulfinate desulfinase [EC:3.13.1.3]
K19966 acdDPN7; 3-sulfinopropanoyl-CoA desulfinase [EC:3.13.1.4]
K20499 csh; carbon disulfide hydrolase [EC:3.13.1.5]
K22576 cos; carbonyl sulfide hydrolase [EC:3.13.1.7]
K22205 E3.13.2.3; S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]
K07002 RBBP9; serine hydrolase [EC:3.-.-.-]
K13281 uvsE, UVE1; UV DNA damage endonuclease [EC:3.-.-.-]
K15720 N4BP2; NEDD4-binding protein 2 [EC:3.-.-.-]
K22213 PATG; 6-methylsalicylate decarboxylase [EC:4.1.1.52]
K06033 E4.1.1.76; arylmalonate decarboxylase [EC:4.1.1.76]
K18427 hpdB; 4-hydroxyphenylacetate decarboxylase large subunit [EC:4.1.1.83]
K18428 hpdC; 4-hydroxyphenylacetate decarboxylase small subunit [EC:4.1.1.83]
K10028 DDT; D-dopachrome decarboxylase [EC:4.1.1.84]
K13932 mdcD; malonate decarboxylase beta subunit [EC:4.1.1.87]
K13933 mdcE; malonate decarboxylase gamma subunit [EC:4.1.1.87]
K22130 otnC; 3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
K22464 FAP; fatty acid photodecarboxylase [EC:4.1.1.106]
K22318 oleB; cis-3-alkyl-4-acyloxetan-2-one decarboxylase [EC:4.1.1.114]
K25044 oleBC; cis-3-alkyl-4-acyloxetan-2-one decarboxylase / olefin beta-lactone synthetase [EC:4.1.1.114 6.1.3.1]
K23248 oiaC; 3-oxoisoapionate decarboxylase [EC:4.1.1.120]
K24268 oiaX; 3-oxoisoapionate-4-phosphate decarboxylase [EC:4.1.1.121]
K13727 pdc; phenolic acid decarboxylase [EC:4.1.1.-]
K21431 kdc; alpha-keto-acid decarboxylase [EC:4.1.1.-]
K01671 yihT; sulfofructosephosphate aldolase [EC:4.1.2.57]
K24269 ald2; 5-deoxyribulose 1-phosphate aldolase [EC:4.1.2.62]
K08313 fsaA, mipB; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]
K08314 fsaB, talC; fructose-6-phosphate aldolase 2 [EC:4.1.2.-]
K11259 ILVBL, HACL2; 2-hydroxyacyl-CoA lyase [EC:4.1.2.-]
K18425 dhaa; 3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]
K18314 E4.1.3.46, ccl; (R)-citramalyl-CoA lyase [EC:4.1.3.46]
K25623 ltp2; 17-hydroxy-3-oxo-4-pregnene-20-carboxyl-CoA lyase [EC:4.1.3.-]
K14331 K14331; fatty aldehyde decarbonylase [EC:4.1.99.5]
K03716 splB; spore photoproduct lyase [EC:4.1.99.14]
K22953 ambI1; L-tryptophan isonitrile synthase [EC:4.1.99.25]
K26348 ASQI, ASQO; cyckopenase [EC:4.1.99.27]
K26912 carB; 3'-dehydrocarminate deglycosidase [EC:4.1.99.28]
K11390 CLYBL; citrate lyase subunit beta-like protein [EC:4.1.-.-]
K26399 K26399; arabinonate dehydratase [EC:4.2.1.5]
K10254 ohyA, sph; oleate hydratase [EC:4.2.1.53]
K22209 tarD; D(-)-tartrate dehydratase [EC:4.2.1.81]
K17757 CARKD; ATP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.93]
K17740 SCD1; scytalone dehydratase [EC:4.2.1.94]
K20613 KHS; kievitone hydratase [EC:4.2.1.95]
K21899 AUDH; aldos-2-ulose dehydratase [EC:4.2.1.110]
K19658 ECH2; peroxisomal enoyl-CoA hydratase 2 [EC:4.2.1.119]
K19659 phaJ; enoyl-CoA hydratase [EC:4.2.1.119]
K20614 ldi; linalool dehydratase / geraniol isomerase [EC:4.2.1.127 5.4.4.4]
K17758 nnrD; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K23997 nnr; ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]
K18115 sqhC; sporulenol synthase [EC:4.2.1.137]
K20615 vioD; capreomycidine synthase [EC:4.2.1.145]
K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K20025 hadB; (R)-2-hydroxyisocaproyl-CoA dehydratase alpha subunit [EC:4.2.1.157]
K20026 hadC; (R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit [EC:4.2.1.157]
K20022 galrD-II; galactarate dehydratase (D-threo-forming) [EC:4.2.1.158]
K20903 hgdA; (R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha [EC:4.2.1.167]
K20904 hgdB; (R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]
K23042 CPS1; peregrinol diphosphate synthase [EC:4.2.1.174]
K23110 fldB; (R)-3-(aryl)lactoyl-CoA dehydratase alpha subunit [EC:4.2.1.175]
K23111 fldC; (R)-3-(aryl)lactoyl-CoA dehydratase beta subunit [EC:4.2.1.175]
K25255 hpfG; (2S)-3-sulfopropanediol dehydratase [EC:4.2.1.177]
K25596 E4.2.1.178; difructose-dianhydride-III synthase [EC:4.2.1.178]
K01726 GAMMACA; gamma-carbonic anhydrase [EC:4.2.1.-]
K25621 chsH2; 3-oxo-4,17-pregnadiene-20-carboxyl-CoA hydratase alpha subunit [EC:4.2.1.-]
K25622 chsH1; 3-oxo-4,17-pregnadiene-20-carboxyl-CoA hydratase beta subunit [EC:4.2.1.-]
K01727 hysA, hylA, hylB; hyaluronate lyase [EC:4.2.2.1]
K19049 cslA; chondroitin AC lyase [EC:4.2.2.5]
K19050 hepA; heparin lyase [EC:4.2.2.7]
K19051 hepB; heparin/heparan-sulfate lyase [EC:4.2.2.7 4.2.2.8]
K19052 hepC; heparan-sulfate lyase [EC:4.2.2.8]
K01732 E4.2.2.10; pectin lyase [EC:4.2.2.10]
K10677 E4.2.2.17; inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17]
K19053 cslB; chondroitin B lyase [EC:4.2.2.19]
K08961 K08961; chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]
K18195 RGL4, rhiE; rhamnogalacturonan endolyase [EC:4.2.2.23]
K18197 yesW; rhamnogalacturonan endolyase [EC:4.2.2.23]
K18198 yesX; rhamnogalacturonan exolyase [EC:4.2.2.24]
K20610 E4.2.2.25; gellan lyase [EC:4.2.2.25]
K20525 alg17C; oligo-alginate lyase [EC:4.2.2.26]
K26349 FORHAM; alpha-L-rhamnosyl-(1->4)-beta-D-glucuronate lyase [EC:4.2.2.28]
K22052 E4.2.3.31; ent-pimara-9(11),15-diene synthase [EC:4.2.3.31]
K18116 E4.2.3.51, PHS1; beta-phellandrene synthase (neryl-diphosphate-cyclizing) [EC:4.2.3.51]
K22053 AG8; (4S)-beta-phellandrene synthase (geranyl-diphosphate-cyclizing) [EC:4.2.3.52]
K22054 ZIS; zingiberene synthase [EC:4.2.3.65]
K22055 ZSS2; beta/10-epi-gamma/alpha-eudesmol synthase [EC:4.2.3.68 4.2.3.84 4.2.3.85]
K22056 BOT2; presilphiperfolanol synthase [EC:4.2.3.74]
K22057 E4.2.3.77; (+)-germacrene D synthase [EC:4.2.3.77]
K22034 BERS; exo-alpha-bergamotene synthase [EC:4.2.3.81]
K22035 K22035; alpha/beta-santalene synthase [EC:4.2.3.82 4.2.3.83]
K22036 C2_3_4; alpha/delta-guaiene synthase [EC:4.2.3.87 4.2.3.93]
K18117 TPS31; viridiflorene synthase [EC:4.2.3.88]
K22058 COP4; cubebol/beta-copaene/beta-cubebene/(+)-sativene synthase [EC:4.2.3.91 4.2.3.127 4.2.3.128 4.2.3.129]
K22059 CDS; (+)-gamma-cadinene synthase [EC:4.2.3.92]
K21933 TPSA; gamma-curcumene synthase [EC:4.2.3.94]
K22060 COP6; (-)-alpha-cuprenene synthase [EC:4.2.3.95]
K21978 E4.2.3.97; (-)-delta-cadinene synthase [EC:4.2.3.97]
K21979 E4.2.3.98; (+)-T-muurolol synthase [EC:4.2.3.98]
K21980 TPS4; bicyclogermacrene synthase [EC:4.2.3.100]
K19968 TPS03; (E)-beta-ocimene synthase [EC:4.2.3.106]
K21939 SS; (+)-sabinene/gamma-terpinene synthase [EC:4.2.3.110 4.2.3.114]
K21930 AG9; terpinolene synthase [EC:4.2.3.113]
K21931 E4.2.3.114; gamma-terpinene synthase [EC:4.2.3.114]
K16218 mibs; 2-methylisoborneol synthase [EC:4.2.3.118]
K21981 PT30; (+)-alpha-pinene synthase [EC:4.2.3.121]
K22061 TPS2; beta-sesquiphellandrene synthase [EC:4.2.3.123]
K21982 MG25; beta-cubebene synthase [EC:4.2.3.128]
K16188 ytpB; tetraprenyl-beta-curcumene synthase [EC:4.2.3.130]
K22062 PRO1; Delta6-protoilludene synthase [EC:4.2.3.135]
K21983 TPS2; alpha-isocomene synthase [EC:4.2.3.136]
K21985 TPS2; valerena-4,7(11)-diene synthase [EC:4.2.3.139]
K21986 TPS2; kunzeaol synthase [EC:4.2.3.143]
K18685 ACOS; ophiobolin F synthase [EC:4.2.3.145]
K20504 dtcycA; cembrene C/nephthenol synthase [EC:4.2.3.148 4.2.3.149]
K20505 dtcycB; nephthenol/cembrene A/pentamethylcyclopentadecatrienol synthase [EC:4.2.3.149 4.2.3.150 4.2.3.151]
K21342 nos2, anb2; demethyl-4-deoxygadusol synthase [EC:4.2.3.154]
K21679 hpnC; hydroxysqualene synthase [EC:4.2.3.156]
K23043 E4.2.3.157; (+)-isoafricanol synthase [EC:4.2.3.157]
K25134 E4.2.3.159; tsukubadiene synthase [EC:4.2.3.159]
K23021 TPS6; (2S,3R,6S,9S)-(-)-protoillud-7-ene synthase [EC:4.2.3.160]
K23022 TPS2; (3S)-(+)-asterisca-2(9),6-diene synthase [EC:4.2.3.161]
K23023 K23023; (+)-corvol ether B/A synthase [EC:4.2.3.163 4.2.3.171]
K22978 STC3; (+)-eremophilene synthase [EC:4.2.3.164]
K22979 geoA; (+)-eremophilene synthase [EC:4.2.3.164]
K23024 E4.2.3.166; (+)-(1E,4E,6S,7R)-germacra-1(10),4-dien-6-ol synthase [EC:4.2.3.166]
K23030 E4.2.3.170; 4-epi-cubebol synthase [EC:4.2.3.170]
K23724 TPS1; (2E,6E)-hedycaryol/valerianol synthase [EC:4.2.3.174 4.2.3.204]
K23031 E4.2.3.175; 10-epi-cubebol synthase [EC:4.2.3.175]
K23032 E4.2.3.176; sesterfisherol synthase [EC:4.2.3.176]
K27209 SS; stellata-2,6,19-triene synthase [EC:4.2.3.178]
K23044 sds; selina-4(15),7(11)-diene synthase [EC:4.2.3.181]
K23045 E4.2.3.182; pristinol synthase [EC:4.2.3.182]
K23046 hcs; (2Z,6E)-hedycaryol synthase [EC:4.2.3.187]
K22542 SDNA; cycloaraneosene synthase [EC:4.2.3.191]
K22929 E4.2.3.192; labda-7,13(16),14-triene synthase [EC:4.2.3.192]
K22930 cldD; (12E)-labda-8(17),12,14-triene synthase [EC:4.2.3.193]
K22967 TPS3; (-)-drimenol synthase [EC:4.2.3.194]
K22467 TPS08; rhizathalene A synthase [EC:4.2.3.195]
K23171 KSL4; dolabradiene synthase [EC:4.2.3.196]
K23754 EDS; eudesmane-5,11-diol synthase [EC:4.2.3.197]
K23172 TPS2, SES; alpha-selinene synthase [EC:4.2.3.198]
K23173 STPS; (-)-5-epieremophilene synthase [EC:4.2.3.199]
K23174 PCS; beta-pinacene synthase [EC:4.2.3.200]
K23530 hps; hydropyrene/hydropyrenol/isoelisabethatriene synthase [EC:4.2.3.201 4.2.3.202 4.2.3.203]
K23873 sodD; sodorifen synthase [EC:4.2.3.205]
K26350 ERIG; (-)-cyatha-3,12-diene synthase [EC:4.2.3.206]
K26351 sapTC1; neoverrucosan-5beta-ol synthase [EC:4.2.3.207]
K26352 chlTC2; verrucosan-2beta-ol synthase [EC:4.2.3.208]
K26353 cysTC2; (R)-axinyssene synthase [EC:4.2.3.209]
K26354 stlTC; lydicene synthase [EC:4.2.3.210]
K27202 CS; (+)-delta-cadinol synthase [EC:4.2.3.212]
K27203 DS; dolasta-1(15),8-diene / delta-araneosene synthase [EC:4.2.3.214 4.2.3.215]
K27204 stsC; somaliensene A/B synthase [EC:4.2.3.216 4.2.3.217]
K27205 VS; variediene synthase [EC:4.2.3.218]
K06037 THNSL2; O-phospho-L-threonine phospho-lyase [EC:4.2.3.-]
K01741 E4.2.99.18; DNA-(apurinic or apyrimidinic site) lyase [EC:4.2.99.18]
K20506 TCEA; tuliposide A-converting enzyme [EC:4.2.99.22]
K20507 TCEB; tuliposide B-converting enzyme [EC:4.2.99.23]
K01751 E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]
K22589 thadh; threo-3-hydroxy-L-aspartate ammonia-lyase [EC:4.3.1.16]
K20757 dthadh; threo-3-hydroxy-D-aspartate ammonia-lyase [EC:4.3.1.27]
K20500 rapL; L-lysine cyclodeaminase [EC:4.3.1.28]
K26913 pbfA; (R)-1-hydroxy-2-aminoethylphosphonate ammonia-lyase [EC:4.3.1.33]
K18200 PAL; peptidylamidoglycolate lyase [EC:4.3.2.5]
K26055 scoD, mmaD; (3R)-3-[(carboxylmethyl)amino]fatty acid synthase [EC:4.3.2.11]
K22120 GLIK, ACLK; gliotoxin/aspirochlorine biosynthesis gamma-glutamylcyclotransferase [EC:4.3.2.-]
K08079 K08079; mimosinase [EC:4.3.3.8]
K26364 K26364; mimosinase [EC:4.3.3.8]
K20038 cutC; choline trimethylamine-lyase [EC:4.3.99.4]
K21106 isoI; isoprene-epoxide---glutathione S-transferase [EC:4.4.1.34]
K06864 larE; pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]
K25264 hpsG; (2S)-3-sulfopropanediol sulfolyase [EC:4.4.1.41]
K26365 cangL; canavanine-gamma-lyase [EC:4.4.1.43]
K01766 csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]
K06038 E4.6.1.14; glycosylphosphatidylinositol diacylglycerol-lyase [EC:4.6.1.14]
K01171 sar; rRNA endonuclease [EC:4.6.1.23]
K25585 ktzT; L-piperazate synthase [EC:4.8.1.1]
K13028 oxdA; aliphatic aldoxime dehydratase [EC:4.8.1.2]
K26380 NSP; thiohydroximate-O-sulfate sulfate/sulfur-lyase (nitrile-forming) [EC:4.8.1.5]
K26381 ESP; N-(sulfonatooxy)alkenimidothioic acid sulfate-lyase (epithionitrile-forming) [EC:4.8.1.6]
K26382 TFP; phenyl-N-(sulfonatooxy)methanimidothioate sulfolyase [EC:4.8.1.7]
K26383 TFP; N-(sulfonatooxy)prop-2-enimidothioate sulfolyase [EC:4.8.1.8]
K00221 E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K17949 HDP; heme ligase [EC:4.99.1.8]
K09121 larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]
K20707 E5.1.1.5; lysine racemase [EC:5.1.1.5]
K20708 E5.1.1.21; isoleucine 2-epimerase [EC:5.1.1.21]
K21617 hpbD; 4-hydroxyproline betaine 2-epimerase [EC:5.1.1.22]
K16213 cbe, mbe; cellobiose epimerase [EC:5.1.3.11]
K17948 nanM; N-acetylneuraminate epimerase [EC:5.1.3.24]
K02431 fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]
K18910 dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
K03534 rhaM; L-rhamnose mutarotase [EC:5.1.3.32]
K21909 eryC; D-erythrulose 1-phosphate 3-epimerase [EC:5.1.3.38]
K10709 frlC; fructoselysine 3-epimerase [EC:5.1.3.41]
K24671 mne; mannose 2-epimerase [EC:5.1.3.44]
K14587 sgcE; protein sgcE [EC:5.1.3.-]
K17759 NAXE, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K01802 E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
K02467 gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13]
K18479 yihS; sulfoquinovose isomerase [EC:5.3.1.31]
K21910 eryH, lerI; L-erythrulose 1-phosphate isomerase [EC:5.3.1.33]
K21911 eryI; D-erythrulose 4-phosphate isomerase [EC:5.3.1.34]
K22131 otnI; 2-dehydrotetronate isomerase [EC:5.3.1.35]
K24672 apsI; D-apiose isomerase [EC:5.3.1.36]
K20706 PFI; polyenoic fatty acid isomerase [EC:5.3.3.13]
K25586 LFS; lachrymatory-factor synthase [EC:5.3.99.12]
K19814 eam; glutamate 2,3-aminomutase [EC:5.4.3.9]
K20709 PAM; phenylalanine aminomutase (L-beta-phenylalanine forming) [EC:5.4.3.10]
K22963 lis; linalool isomerase [EC:5.4.4.8]
K11942 icmF; isobutyryl-CoA mutase [EC:5.4.99.13]
K25820 icmA; isobutyryl-CoA mutase large subunit [EC:5.4.99.13]
K25821 icmB; isobutyryl-CoA mutase small subunit [EC:5.4.99.13]
K21940 SHS; shionone synthase [EC:5.4.99.46]
K21941 GLS; glutinol synthase [EC:5.4.99.49]
K21942 FRS; friedelin synthase [EC:5.4.99.50]
K21943 BOS; baccharis oxide synthase [EC:5.4.99.51]
K20906 hcmA; 2-hydroxyisobutanoyl-CoA mutase large subunit [EC:5.4.99.64]
K20907 hcmB; 2-hydroxyisobutanoyl-CoA mutase small subunit [EC:5.4.99.64]
K22964 LCC; pre-alpha-onocerin synthase [EC:5.4.99.65]
K22965 LCD; alpha-onocerin synthase [EC:5.4.99.66]
K23874 cmlD, papB; 4-amino-4-deoxychorismate mutase [EC:5.4.99.67]
K16208 LUP5; lupeol synthase 5 [EC:5.4.99.-]
K25822 pcmA; pivalyl-CoA mutase large subunit [EC:5.4.99.-]
K25823 pcmB; pivalyl-CoA mutase small subunit [EC:5.4.99.-]
K17811 K17811; halimadienyl-diphosphate synthase [EC:5.5.1.16]
K20549 aci; 3,6-anhydro-L-galactonate cycloisomerase [EC:5.5.1.25]
K22931 E5.5.1.29; (+)-kolavenyl diphosphate synthase [EC:5.5.1.29]
K03463 E5.5.1.30; labda-7,13-dienyl diphosphate synthase [EC:5.5.1.30]
K22971 K22971; hapalindole H/12-epi-hapalindole U/12-epi-fischerindole U synthase [EC:5.5.1.31 5.5.1.32 5.5.1.33]
K01861 NEPS3; (+)-cis,cis-nepetalactol synthase [EC:5.5.1.35]
K23876 hgdC, fldI, hadI, lcdC; (R)-2-hydroxyacyl-CoA dehydratese activating ATPase [EC:5.6.1.9]
K22319 oleC; olefin beta-lactone synthetase [EC:6.1.3.1]
K23108 BZO1; benzoate---CoA ligase [EC:6.2.1.25]
K12508 fcs; feruloyl-CoA synthase [EC:6.2.1.34]
K20415 madH; ACP-SH:acetate ligase [EC:6.2.1.35]
K18688 fadD19; 3-oxocholest-4-en-26-oate---CoA ligase [EC:6.2.1.42]
K21107 jamA; medium-chain-fatty-acid---[acyl-carrier-protein] ligase [EC:6.2.1.47]
K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]
K24408 sagA; salicylate---CoA ligase [EC:6.2.1.65]
K25254 ecm13; L-tryptophan---[L-tryptophyl-carrier protein] ligase [EC:6.2.1.73]
K25760 iaaB; indoleacetate---CoA ligase [EC:6.2.1.75]
K25775 casG; steroid-24-oyl-CoA synthetase [EC:6.2.1.-]
K25776 casI; steroid-22-oyl-CoA synthetase [EC:6.2.1.-]
K24409 ycaO; thioglycine synthase [EC:6.2.2.1]
K24411 patD, lynD; oxazoline/thiazoline synthase [EC:6.2.2.2 6.2.2.3]
K17810 asl; D-aspartate ligase [EC:6.3.1.12]
K15526 mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
K20419 atdA1; gamma-glutamylanilide synthase [EC:6.3.1.18]
K03397 E6.3.2.20; indoleacetate---lysine synthetase [EC:6.3.2.20]
K03802 cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
K23627 ASQK; cyclopeptine synthase [EC:6.3.2.40]
K02558 mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K22115 rizA; L-arginine-specific L-amino acid ligase [EC:6.3.2.48]
K22581 TAS1; tenuazonic acid synthetase [EC:6.3.2.50]
K01932 capB, pgsB; gamma-polyglutamate synthase [EC:6.3.2.-]
K22118 GLIP, ACLP; gliotoxin/aspirochlorine biosynthesis peptide synthetase [EC:6.3.2.-]
K23631 ASAC; aspergillic acid biosynthesis nonribosomal peptide synthetase [EC:6.3.2.-]
K01949 gmaS; glutamate---methylamine ligase [EC:6.3.4.12]
K10854 acxB; acetone carboxylase, alpha subunit [EC:6.4.1.6]
K10855 acxA; acetone carboxylase, beta subunit [EC:6.4.1.6]
K10856 acxC; acetone carboxylase, gamma subunit [EC:6.4.1.6]
K20140 cfiA; 2-oxoglutarate carboxylase large subunit [EC:6.4.1.7]
K20141 cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
K01970 accD2; acyl-CoA carboxylase subunit beta [EC:6.4.1.-]
K04104 accD3; acyl-CoA carboxylase subunit beta [EC:6.4.1.-]
K27093 accD4; long chain acyl-CoA carboxylase carboxyl transferase subunit beta 4 [EC:6.4.1.- 2.1.3.-]
K27094 accD5; propionyl-/long chain acyl-CoA carboxylase carboxyl transferase subunit beta 5 [EC:6.4.1.- 2.1.3.-]
K26441 lig; DNA ligase [EC:6.5.1.1]
K01973 REL1_2; RNA-editing ligase [EC:6.5.1.3]
K01974 RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
K18105 rtcA; RNA 3'-terminal phosphate cyclase (GTP) [EC:6.5.1.5]
K05716 CPGS; cyclic 2,3-diphosphoglycerate synthase [EC:6.5.1.9]
K07468 K07468; DNA/RNA ligase [EC:6.5.1.-]
K14680 K14680; putative RNA ligase [EC:6.5.1.-]
K03614 rnfD; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]
K03615 rnfC; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]
K03616 rnfB; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2]
K00345 ndhS; NAD(P)H-quinone oxidoreductase subunit S, chloroplastic [EC:7.1.1.-]
K23051 ndhT; NAD(P)H-quinone oxidoreductase subunit T, chloroplastic [EC:7.1.1.-]
K23052 ndhU; NAD(P)H-quinone oxidoreductase subunit U, chloroplastic [EC:7.1.1.-]
K00346 nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347 nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348 nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00349 nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350 nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00351 nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
K01536 ENA; P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]
K12956 ctpV; copper-transporting P-type ATPase V [EC:7.2.2.8]
K01533 copB; P-type Cu2+ transporter [EC:7.2.2.9]
K01537 ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]
K01534 zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
K01531 mgtA, mgtB; P-type Mg2+ transporter [EC:7.2.2.14]
K23254 silP; P-type Ag+ transporter [EC:7.2.2.15]
K01532 PCA1,CAD2; Cd2+-exporting ATPase [EC:7.2.2.21]
K12950 ctpC; manganese-transporting P-type ATPase C [EC:7.2.2.22]
K12949 ctpB; cation-transporting P-type ATPase B [EC:7.2.2.-]
K12951 ctpD; cobalt/nickel-transporting P-type ATPase D [EC:7.2.2.-]
K12952 ctpE; cation-transporting P-type ATPase E [EC:7.2.2.-]
K12953 ctpF; cation-transporting P-type ATPase F [EC:7.2.2.-]
K12954 ctpG; cation-transporting P-type ATPase G [EC:7.2.2.-]
K12955 ctpI; cation-transporting P-type ATPase I [EC:7.2.2.-]
K13526 ATP13A2; cation-transporting P-type ATPase 13A2 [EC:7.2.2.-]
K14950 ATP13A1, SPF1; manganese-transporting P-type ATPase [EC:7.2.2.-]
K14951 ATP13A3_4_5; cation-transporting P-type ATPase 13A3/4/5 [EC:7.2.2.-]
K21887 ctpJ, nmtA; cation-transporting P-type ATPase J [EC:7.2.2.-]
K10822 E7.4.2.2; nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
K01530 E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1]
